Prey,Bait,Score
NDH09G02230.1,NDH09G23440.1,1
NDH13G04480.1,NDH05G25800.1,1
NDH13G04480.1,NDH20G38030.1,1
NDH08G13080.1,NDH08G20140.1,1
NDH15G36310.1,NDH06G01000.3,1
NDH03G05200.1,NDH09G04520.1,1
NDH06G15751.1,NDH07G13990.1,1
NDH11G38910.2,NDH03G26670.4,1
NDH13G04040.2,NDH18G32240.2,1
NDH20G13480.1,NDH03G42440.2,1
NDH15G25130.1,NDH14G37670.1,1
NDH01G02700.1,NDH20G01050.1,1
NDH19G34820.1,NDH13G22470.1,1
NDH05G25560.1,NDH05G25070.1,1
NDH06G01000.3,NDH09G17230.1,1
NDH03G48230.1,NDH06G01530.1,1
NDH10G01610.1,NDH19G20440.1,1
NDH08G03950.1,NDH20G24360.1,1
NDH15G10290.1,NDH06G01000.3,1
NDH13G22880.3,NDH06G06530.1,1
NDH08G00140.3,NDH06G01000.3,1
NDH19G38000.1,NDH06G01000.4,1
NDH13G46960.1,NDH19G16160.1,1
NDH13G47660.2,NDH12G16711.3,1
NDH06G01020.1,NDH01G03040.1,1
NDH10G30561.1,NDH10G01820.1,1
NDH03G44620.1,NDH06G01000.3,1
NDH05G26280.1,NDH17G26450.1,1
NDH10G00530.5,NDH05G01040.3,1
NDH18G08450.1,NDH06G01000.4,1
NDH05G36550.1,NDH06G01000.4,1
NDH07G05880.1,NDH04G06230.1,1
NDH04G16790.1,NDH09G22210.1,1
NDH07G00360.1,NDH17G21210.2,1
NDH16G13210.6,NDH20G43200.2,1
NDH04G04290.2,NDH10G29940.1,1
NDH19G30920.2,NDH10G03880.1,1
NDH01G09721.1,NDH15G35230.1,1
NDH20G08680.1,NDH12G15330.1,1
NDH17G07100.2,NDH20G28510.2,1
NDH14G12430.1,NDH01G24860.1,1
NDH18G15530.1,NDH05G04530.1,1
NDH06G22630.1,NDH15G38930.1,1
NDH20G08720.1,NDH16G14030.4,1
NDH07G08340.2,NDH04G28940.1,1
NDH05G00110.1,NDH14G12430.1,1
NDH07G08340.2,NDH13G21070.3,1
NDH05G06820.2,NDH08G24310.2,1
NDH19G17090.1,NDH20G06380.1,1
NDH15G39190.1,NDH09G26800.1,1
NDH14G02850.1,NDH18G28100.1,1
NDH16G13670.1,NDH07G08340.2,1
NDH10G12330.1,NDH03G41190.1,1
NDH02G09431.1,NDH01G10020.1,1
NDH17G21150.2,NDH06G16050.1,1
NDH03G42140.1,NDH19G08690.1,1
NDH07G08340.1,NDH07G22150.1,1
NDH20G40420.1,NDH04G12000.1,1
NDH02G03800.2,NDH19G41170.1,1
NDH10G11870.1,NDH06G01000.3,1
NDH19G35080.1,NDH05G17010.1,1
NDH13G48590.1,NDH13G48590.1,1
NDH06G20700.1,NDH05G02900.2,1
NDH04G05460.1,NDH06G01000.4,1
NDH17G00560.1,NDH09G23440.1,1
NDH19G19600.1,NDH13G44810.1,1
NDH09G23440.1,NDH10G15630.1,1
NDH06G21290.1,NDH06G12181.1,1
NDH07G12180.1,NDH03G07470.1,1
NDH20G08000.1,NDH13G49940.1,1
NDH03G03541.1,NDH19G38160.1,1
NDH09G23440.1,NDH15G00990.1,1
NDH09G06480.3,NDH15G19140.1,1
NDH18G01670.1,NDH04G26601.1,1
NDH13G42340.1,NDH06G01000.3,1
NDH04G29880.1,NDH19G38450.1,1
NDH17G00420.1,NDH03G02770.1,1
NDH20G03500.2,NDH12G04300.1,1
NDH16G31630.1,NDH20G26910.2,1
NDH16G17410.1,NDH06G01000.4,1
NDH05G05640.1,NDH06G01000.3,1
NDH17G06120.1,NDH07G15900.1,1
NDH09G21560.7,NDH17G36280.1,1
NDH16G38870.1,NDH07G26210.1,1
NDH07G01030.1,NDH06G01000.3,1
NDH13G04560.1,NDH19G09601.1,1
NDH17G27570.1,NDH04G32130.1,1
NDH18G21110.1,NDH15G36090.5,1
NDH07G19430.1,NDH05G39490.1,1
NDH07G04971.1,NDH20G38110.1,1
NDH09G06480.3,NDH06G26660.1,1
NDH16G36420.1,NDH17G16420.1,1
NDH06G28840.1,NDH12G16711.3,1
NDH17G35860.1,NDH14G12430.1,1
NDH13G20090.1,NDH20G38120.1,1
NDH06G28380.3,NDH19G35080.1,1
NDH06G28840.1,NDH04G06230.1,1
NDH06G19290.1,NDH06G16050.1,1
NDH09G23440.1,NDH17G25480.3,1
NDH09G23440.1,NDH13G24230.1,1
NDH17G34840.1,NDH16G36420.1,1
